source_id,ra,dec,magnitude
3535803793182899712,166.21489869938085,-25.279019310348993,11.784949
3535848735721058560,165.67645163278243,-25.07527239321096,10.848307
3535991328634259712,166.85646745750108,-25.106821356179815,11.250837
3536151926051436160,168.1763516653263,-24.193039601410696,11.62435
3536208963217646080,166.99932058105654,-24.786933074178517,11.251897
3536276617542460032,166.66354329014297,-24.540980636179114,10.395241
3536797098858658304,164.28967736707855,-24.49449347346053,11.638334
3536832523748747264,163.54952680039545,-24.484493604486754,11.6555195
3536931342356308608,164.5794579670948,-24.00843556319788,11.687908
3536967076484120960,163.93106772538286,-23.972639629804334,11.1412115
3537020918195114496,165.84024320594511,-24.42036771660803,11.922051
3537160693610623360,166.60595343112556,-23.786538923805043,11.762018
3537180175582212352,166.52801786833015,-23.579331562069328,11.927502
3537372345302366848,164.76165169050853,-23.460841918053838,11.809988
3537378774869355776,165.07789861376068,-23.322074378652903,10.744253
3537381145691251328,164.93891142767106,-23.29551182132812,10.8078985
3537479139665322880,166.33899229914417,-22.773705649880796,10.990276
3537557376789480576,166.04055547890857,-22.300374352791167,9.139871
3537619155599667584,169.0120153388718,-24.078542648640706,10.95945
3537984330897141888,167.95548447571184,-23.066507354305333,11.861031
3538023088683684992,168.42059491975948,-22.998731209655883,7.356932
3538125686862498176,168.69046107875712,-22.364488398472375,11.3387165
3538447671971042432,169.24313487639395,-22.24684599653072,11.624411
3538459491721210880,169.91739436729696,-22.22605700840603,8.644106
3538474506926893184,169.9393548250634,-21.901319929381515,8.995238
3538763334887623808,167.5686661343399,-22.61951673503463,9.789737
3538839269909359104,167.42016101885076,-22.172619067862946,11.675203
3538991243031113344,166.54342040797138,-22.466870831575434,9.221123
3539029691578965120,167.18641260136255,-22.113181705490256,11.078663
3539212622825737856,167.15070126662184,-21.30810960059055,11.452887
3539218979377292416,166.78882453503246,-21.365110563779908,11.629966
3539360197902200960,168.07513544392418,-21.375467468037325,10.527884
3539439019142852096,169.33244410711404,-20.929561202750296,11.654679
3539492276737261568,169.14984408750436,-20.71385237071055,11.8242
3539497258899265664,169.01739391767327,-20.81011288723644,11.370195
3539512342824433280,169.12624089315187,-20.459185655316592,10.07174
3539513614134867200,169.50056074591518,-20.649213296185035,9.463229
3539549623139783680,168.07266322184267,-21.275114234910856,11.710392
3539554433503108608,168.04908569445954,-21.2196386886243,8.508636
3539670191461663616,168.1648445439684,-20.342975737196817,10.997719
3539735062647850240,169.34893703211344,-20.143377926736953,11.987746
3544368061050408704,171.56367642687522,-21.40052238319912,8.249722
3544435303058294656,171.1009615132147,-21.2246655248585,11.221851
3544439185708840192,171.63808663926443,-21.304144417627562,11.9491
3544634658260383616,170.7560661050716,-21.087163175406513,11.29016
3544699220208669696,170.58801102777494,-20.73634687103265,10.841196
3544764812948909056,171.74282998082893,-20.500222715165513,11.71839
3544847997875791360,170.94944806569598,-20.116068990807587,10.108265
3545259593181186432,172.19079621896398,-19.472622870450444,11.261427
3545343495365473536,172.7675105298993,-19.089051711530878,11.994696
3545558625984905984,169.92607504255886,-19.950841999248407,11.254857
3545612433335289088,171.14494585219498,-19.746285410632257,11.817628
3545736128393327744,170.7961103378019,-19.026570613142972,10.9512825
3546049420487327872,171.5486686157404,-19.076980552011943,9.765184
3546063748498283136,171.93161022188943,-18.955155389436808,11.334372
3546070757884917248,172.03815933287612,-18.861531117650223,9.12133
3546195518095285760,172.2826583943857,-18.34414461222445,11.58618
3546309523707154688,170.7909051411617,-18.639069613459473,11.490007
3546378896018790144,170.4367618623937,-18.36720559822026,11.809451
3546464589206177920,171.49266754291355,-17.91136528158728,11.408238
3546467196250390144,171.26883415585124,-17.906902772860505,10.792853
3546486476359663616,171.9897016440905,-17.65979167089233,11.546009
3546531968653515648,171.04860919315269,-17.723432244112892,10.929756
3547741740681167872,172.844725898999,-17.779587366637372,10.2774515
3547754419424788224,173.29614261186816,-17.61662877148111,11.133524
3547879626311111424,173.69026953272515,-17.136989759909632,10.415909
3548068707951468032,171.83005179671045,-17.074797730763958,11.439003
3548662719108384384,173.65726298876675,-15.573120059725662,9.044503
3548855064921948544,162.99916234160682,-24.370744237635506,8.4399805
3548979103578948096,163.84573983412946,-23.847147932827387,11.224995
3549031605259198720,163.9484141065917,-23.380265273846366,11.999653
3549124032954933248,162.32765515619133,-23.796955940060244,11.819024
3549157946016790400,162.66642216338914,-23.514760255126802,11.424226
3549665095755298816,165.0570939434022,-21.761398517871545,11.518462
3549696672354869632,163.97069700738365,-22.30239316879441,9.866645
3549749998668796416,164.19236241692366,-21.77781465339874,11.422157
3549772809239260800,163.3787815276238,-22.012191319898232,11.629865
3549902899504390272,164.34662428167283,-21.411202201330475,11.956684
3550003092501610624,161.93658815923604,-22.86298537028881,11.210085
3550014328136078336,162.22064270774135,-22.578827636410953,11.597864
3550017970268335104,162.03141228333408,-22.692229664451492,11.708466
3550039445103236608,161.36228885460736,-22.809159963596766,10.008812
3550134965177305344,162.37035974841712,-22.165756404722515,9.173277
3550236910521012736,162.4543171786565,-21.58798921379863,11.067196
3550316212797384832,160.6538168634687,-22.21893629342631,9.676986
3550401802906012288,161.92264858794093,-21.594236945087715,10.807307
3550445336694479488,161.873304081294,-21.29342582941541,11.936621
3550459630345554176,161.30438644306588,-21.565464446682114,11.262734
3550523230221312512,161.71084661015146,-20.883202501368146,11.088916
3551057524153244416,163.02728974017865,-20.015725777223174,10.430704
3551515573824633600,165.89337763031492,-20.596643642498194,11.68861
3551689949497385728,167.75004722710096,-20.256282189981345,11.127136
3551848038653259008,168.35106685190175,-19.447468796040805,11.478527
3551856697307335296,168.50607941701793,-19.29588125420824,11.889609
3551942012537828352,166.79541161505674,-19.88802216270853,11.818505
3551979155415053056,167.28667492422747,-19.50272559304845,10.288238
3551991799798701312,166.75395243770635,-19.4150744031554,11.012411
3552109584981963520,167.72020041674273,-19.063003040817673,11.649045
3552297841988137984,164.2493123788025,-20.16784721000998,9.930531
3552300900005295360,164.37507294247314,-20.017296085806695,10.927145
3552423358112978176,165.60781174996518,-19.26908284587456,11.935403
3552450399226887040,164.72671974401104,-19.392374407980427,11.817446
3552908758136352512,165.7794433017313,-18.406822145062023,11.712952
3552994726202214528,166.20153783682267,-18.31148929296926,11.6432295
3553144912618789504,165.05755656712924,-18.138903084544985,11.363765
3553200300516211840,165.95583618685086,-18.124746541357013,11.569488
3553675495697714688,159.7471670016612,-20.8456146430703,10.675055
3553840456800419712,159.90241838224458,-20.206256716133854,11.1733675
3554076886161413632,162.42201195563538,-19.601418043850487,11.981524
3554153267859820928,162.4990564335996,-19.288823224040847,10.503322
3554229615198189312,161.4929896308216,-19.579192916345615,11.253519
3554232467055841280,161.63682490703727,-19.438292379400902,11.211748
3554576785994632064,158.84240693271357,-19.964611126041817,10.974564
3554601692509291264,158.96137365247435,-19.60133584332306,10.043878
3554611558049849600,159.52984264474784,-19.976203412374076,11.647802
3554684709932805376,159.3159436751806,-19.532624047264477,10.200608
3554694502458247552,159.39311306077252,-19.35536522337581,10.853031
3555093625179221248,160.76314499289364,-18.687942322424412,11.975731
3555122521719045120,159.6504750138924,-18.850786393081567,11.0667925
3555299062054689664,160.78341725798006,-17.858636893808285,11.748227
3555365238911088128,159.75959379605942,-18.234701527096544,9.205323
3555421073485911680,159.59396937234104,-18.059490207075864,11.823779
3555545730615661312,159.78586531255075,-17.576132077578333,8.235565
3555603832934383104,163.40464530889892,-19.140757509078526,9.805872
3555703647974269312,163.06218908552503,-18.650472478878058,10.619907
3555949354463269632,161.94168486034621,-18.38019280685564,10.743121
3556016252874221568,163.11295008508182,-18.0675663574624,10.778581
3556019723207517440,162.99654257324383,-18.063997040689166,10.501184
3556054667061496832,163.43435281098945,-17.72197248004513,11.562776
3556191521899244032,164.8156324671599,-17.81524575804655,10.282311
3556292505170189696,164.41769574091697,-17.116140252434597,10.843089
3556727052781874560,161.91015046870837,-17.990246319231076,10.814365
3556759247856468864,161.99240543463213,-17.69139776212899,11.545924
3556812196213128192,161.07972581031572,-17.52889498031614,10.589954
3556826902181271552,161.7805138691188,-17.411663004965586,11.127038
3556882187000175744,162.15108115505984,-17.260113225629848,11.643244
3557048247615811840,161.50727914038004,-16.97649124036462,11.807865
3557174210416605440,161.671891959877,-16.422284855299118,11.281956
3557189603579462144,162.12004591452092,-16.34634664253576,11.897144
3557197197081606784,161.80518196836013,-16.40836047126424,11.095476
3557224203835895680,161.48804392785868,-16.350808572297396,9.699294
3557631469814908288,162.81896888158317,-15.450296047586297,11.5479555
3558356460295025024,168.28492973871386,-17.60785403018577,11.903961
3558675112508643712,170.62558734185757,-16.68007446953957,11.811536
3558677380251718144,170.69623139009687,-16.597889832389058,11.23292
3558677930007196288,170.75721178048838,-16.560487776369783,11.42567
3558810592957417088,169.58772225641908,-16.55138940549533,9.304207
3558927278626921472,169.80438429655166,-16.24573844854323,8.865733
3558963768670700800,170.29110003415735,-15.867431003036085,10.985623
