t,x,y,p
135453,419,350,1
135453,50,542,1
135454,1138,102,0
135455,752,250,1
135459,1103,583,0
135466,1035,131,0
135467,34,524,1
135468,82,686,1
135470,441,546,1
135472,317,128,1
135472,130,432,0
135472,1090,605,0
135477,991,150,1
135481,111,253,1
135482,590,192,0
135484,239,406,1
135490,596,472,1
135493,21,372,0
135494,898,304,0
135498,1174,619,1
135502,1101,701,1
135502,1101,701,1
135508,742,371,0
135514,1250,300,0
135515,818,565,0
135515,276,495,1
135518,979,494,1
135519,432,677,0
135523,51,549,1
135525,314,654,0
135535,1122,426,0
135536,1013,599,0
135536,362,436,1
135538,472,615,0
135539,669,392,0
135539,768,607,1
135541,954,368,0
135545,461,658,1
135547,1116,267,1
135548,722,597,1
135550,926,594,0
135551,1263,690,1
135554,842,301,1
135557,1118,30,1
135559,1031,595,1
135563,165,550,1
135572,283,645,0
135572,380,415,0
135575,387,695,1
135577,814,656,1
135578,116,453,1
135582,536,256,1
135586,1085,594,1
135586,875,569,0
135589,3,610,1
135590,1261,315,0
135595,1169,642,0
135600,745,266,1
135601,289,338,1
135602,1273,86,1
135604,368,278,1
135604,1067,78,1
135604,182,685,1
135604,182,685,1
135606,628,234,1
135608,757,38,0
135609,290,661,1
135611,1002,121,0
135616,329,14,0
135617,706,102,0
135618,210,196,1
135618,170,49,1
135618,683,373,1
135619,691,705,0
135620,838,605,1
135620,117,68,0
135623,202,85,1
135624,1190,508,1
135624,863,329,1
135625,586,327,0
135626,59,56,0
135627,359,639,0
135627,1042,88,1
135633,759,160,0
135641,1137,606,1
135643,887,688,0
135646,787,42,1
135647,104,532,0
135647,465,406,1
135648,372,577,1
135649,1106,199,1
135649,1055,169,0
135650,346,269,1
135651,896,389,1
135652,921,352,1
135654,658,411,1
135654,700,12,1
135654,439,690,1
135655,307,112,1
135655,1030,464,1
135658,798,106,1
135658,181,166,1
135659,586,620,1
135663,25,220,0
135664,69,85,1
135664,294,49,1
135666,1084,361,0
135667,211,25,1
135668,974,117,1
135669,1242,416,1
135670,1064,61,1
135671,512,214,1
135672,792,210,1
135673,239,598,1
135675,919,618,1
135675,1074,280,1
135676,426,173,1
135676,175,269,1
135676,1186,148,1
135681,1014,221,1
135684,467,62,1
135684,1006,656,1
135685,1029,548,1
135686,1265,547,1
135690,414,89,1
135691,716,20,1
135691,566,675,1
135692,410,277,1
135694,241,52,1
135694,500,687,1
135696,269,693,1
135697,1016,620,1
135697,179,77,1
135698,763,247,1
135699,487,639,1
135701,409,343,1
135702,495,473,1
135702,1251,182,1
135704,421,307,1
135704,871,129,1
135705,266,63,1
135707,172,235,1
135708,231,214,1
135717,507,169,1
135719,4,160,1
135724,831,179,1
135725,586,691,1
135726,1214,592,0
135729,352,17,0
135730,951,129,1
135733,1087,621,0
135734,318,283,1
135736,1217,708,0
135751,159,466,1
135751,363,669,1
135751,1208,665,1
135752,1260,611,1
135758,777,554,0
135759,1001,306,1
135762,671,365,1
135764,274,249,0
135771,1186,210,1
135771,1276,542,1
135773,820,321,1
135773,1002,354,1
135777,188,467,1
135781,574,230,0
135782,402,357,1
135782,1239,375,0
135787,403,595,1
135787,182,587,1
135787,1221,600,0
135792,53,278,1
135792,1087,594,1
135792,1087,594,1
135808,294,394,0
135821,544,630,0
135823,747,140,0
135823,195,246,0
135832,803,180,0
135833,795,694,0
135835,753,477,0
135838,293,471,1
135843,861,597,0
135853,709,531,1
135854,551,149,1
135855,638,574,1
135855,638,574,1
135856,435,381,1
135858,28,233,1
135859,1107,434,0
135861,1066,131,0
135863,66,106,0
135867,616,615,1
135868,310,688,0
135873,184,592,1
135873,184,592,1
135875,628,301,0
135877,802,465,0
135877,464,1,0
135879,631,316,1
135879,631,316,1
135880,1223,690,1
135881,49,705,0
135882,1233,583,0
135883,498,301,1
135887,1229,688,0
135896,2,606,1
135899,952,31,0
135899,70,114,1
135905,736,162,0
135907,637,691,1
135913,632,230,0
135922,988,432,1
135923,1132,92,1
135924,22,512,0
135925,450,658,1
135925,876,652,1
135925,876,652,1
135925,876,652,1
135927,542,146,1
135928,317,694,0
135929,55,275,1
135940,209,232,0
135940,419,72,0
135942,1182,79,1
135945,269,495,0
135946,711,718,0
135950,218,158,0
135951,571,480,1
135952,890,417,0
135961,298,23,0
135962,119,572,0
135966,1168,454,0
135974,429,645,0
135980,881,441,1
135981,331,422,0
135982,479,174,1
135985,641,712,0
135988,1025,37,0
135991,1047,428,1
135991,503,118,0
135992,357,668,1
135993,686,340,0
135995,102,688,1
135998,836,347,0
136004,402,480,1
136005,1086,359,0
136010,682,540,0
136011,1071,332,0
136012,510,592,1
136014,800,226,1
136015,267,495,1
136024,1034,123,1
136030,772,12,1
136036,311,6,1
136039,24,131,1
136043,489,699,0
136045,64,284,0
136045,1197,440,0
136048,274,270,1
136051,638,81,1
136054,78,29,1
136056,450,446,0
136058,877,597,0
136058,751,438,1
136061,1032,667,1
136062,865,296,0
136063,433,453,1
136065,273,507,1
136066,781,260,1
136067,450,389,1
136068,839,95,1
136075,1049,613,1
136075,1049,613,1
136076,1235,141,0
136076,651,644,1
136078,183,351,1
136078,183,351,1
136082,1196,56,1
136082,1208,515,1
136083,476,596,0
136084,428,339,0
136090,192,71,1
136090,450,620,0
136093,1047,92,1
136093,1047,92,1
136093,1270,250,1
136093,546,316,1
136094,780,34,1
136094,118,49,0
136096,747,85,1
136099,1023,647,1
136099,124,10,1
136099,1246,223,1
136099,124,10,1
136100,1034,450,1
136102,255,70,1
136103,942,195,0
136104,958,59,0
136104,825,19,1
136107,1212,143,1
136109,1175,237,1
136110,978,81,1
136112,964,293,1
136116,994,128,1
136118,1096,245,0
136119,170,239,1
136120,494,149,1
136120,857,620,1
136123,763,556,1
136125,283,534,1
136126,824,72,1
136126,455,5,1
136126,455,5,1
136127,141,42,1
136128,141,42,1
136134,656,133,1
136139,1273,174,1
136145,384,61,1
136147,566,254,1
136151,1074,497,1
136151,31,69,0
136153,228,556,1
136154,713,642,1
136155,713,642,1
136155,34,420,1
136156,157,116,1
136157,785,201,1
136157,1246,676,1
136170,383,584,1
136171,503,459,1
136172,468,382,1
136178,398,464,0
136183,507,696,1
136183,853,319,1
136188,690,190,1
136190,228,193,1
136193,429,347,1
136195,506,215,0
136198,79,583,1
136203,872,684,1
136206,1278,393,0
136213,920,267,1
136215,322,477,1
136221,581,91,1
136224,1083,283,0
136225,163,564,1
136225,163,564,1
136229,693,316,0
136229,1027,323,0
136240,953,617,0
136245,43,215,0
136247,1266,202,1
136254,721,635,1
136256,158,151,1
136258,471,110,0
136262,476,448,0
136265,950,651,0
136267,1189,606,1
136269,269,496,0
136275,1202,436,0
136275,171,73,1
136279,781,713,0
136281,1120,130,0
136281,1014,426,0
136281,656,168,1
136283,779,70,1
136291,781,165,1
136292,1269,467,1
136294,1216,107,0
136294,1041,244,1
136295,372,647,1
136295,1004,579,1
136295,1004,579,1
136295,1068,453,1
136296,809,400,0
136297,591,285,1
136298,454,101,1
136300,1186,499,0
136305,719,487,1
136309,329,619,1
136311,687,487,1
136313,5,303,1
136313,950,75,0
136313,1048,299,1
136313,1048,299,1
136314,588,596,1
136314,1213,183,1
136314,148,273,1
136316,203,455,1
136319,112,330,1
136322,820,628,1
136325,499,72,0
136326,1240,542,1
136327,895,285,0
136337,647,105,0
136339,275,27,0
136340,1204,585,0
136347,932,631,1
136354,527,364,0
136356,7,635,1
136363,344,202,0
136367,578,352,0
136377,140,466,0
136380,995,654,0
136381,151,467,1
136385,435,166,1
136385,1054,247,1
136386,277,596,1
136391,421,669,0
136400,279,256,1
136406,223,396,0
136406,908,385,1
136413,1047,325,1
136414,879,288,1
136415,558,361,0
136415,474,625,1
136416,833,592,0
136418,103,545,1
136419,196,87,1
136419,798,211,1
136420,1098,362,0
136422,549,650,1
136422,356,458,1
136422,356,458,1
136423,668,371,1
136423,546,454,1
136424,547,280,1
136424,824,167,1
136425,463,479,1
136429,1259,45,1
136430,311,311,1
136432,220,426,1
136432,220,426,1
136432,250,188,1
136433,94,412,1
136434,537,4,1
136440,234,716,1
136441,1056,220,1
136443,1084,100,1
136443,357,170,1
136443,267,660,1
136443,267,660,1
136444,783,94,1
136446,389,259,0
136449,126,527,1
136449,953,645,0
136450,384,171,1
136451,996,478,1
136451,527,434,1
136453,571,160,1
136453,421,166,1
136455,565,630,0
136457,1182,255,1
136457,444,405,0
136460,270,495,0
136463,21,493,1
136463,872,271,1
136464,1265,624,1
136466,1014,124,1
136469,302,105,1
136469,593,547,1
136473,1070,513,1
136474,1036,376,1
136484,315,587,0
136486,840,535,1
136490,418,689,1
136494,729,195,1
136496,1000,185,1
136498,915,708,1
136500,376,177,1
136502,321,616,1
136502,321,616,1
136504,441,211,0
136508,177,544,0
136509,249,201,1
136524,165,540,0
136526,481,72,1
136535,1226,587,0
136544,1162,366,1
136546,700,118,1
136546,727,8,1
136546,1204,85,1
136547,111,291,1
136548,1181,513,1
136550,936,53,1
136552,88,35,0
136552,906,386,1
136553,113,543,1
136554,740,340,0
136555,571,4,1
136555,470,119,1
136556,585,644,1
136556,585,644,1
136560,982,98,1
136560,908,559,1
136561,121,147,1
136563,1138,616,0
136564,10,94,1
136565,132,385,1
136565,107,210,0
136565,1068,105,1
136567,497,140,0
136569,1119,439,1
136572,1090,416,1
136572,1170,668,1
136573,1235,647,1
136575,26,183,1
136575,65,630,1
136575,983,545,1
136575,1111,436,0
136576,1086,535,1
136577,662,292,1
136578,554,172,1
136580,1197,569,1
136581,324,394,1
136582,436,352,1
136585,641,700,1
136586,298,68,1
136587,1160,470,1
136590,727,412,1
136591,978,273,0
136594,298,360,1
136597,563,719,1
136597,339,106,1
136599,1251,408,1
136607,846,165,0
136608,1268,628,0
136611,340,142,1
136614,646,94,0
136620,127,174,0
136622,458,703,0
136625,837,192,1
136628,1167,587,1
136635,477,620,0
136636,1015,536,0
136638,918,332,0
136650,736,452,0
136652,394,34,1
136656,1056,485,1
136657,102,197,1
136658,928,156,1
136658,624,650,1
136664,553,425,1
136664,472,501,0
136664,353,51,1
136666,633,411,1
136666,633,411,1
136667,412,123,1
136667,471,147,1
136668,542,633,1
136668,769,681,0
136669,26,613,0
136676,1269,380,1
136676,153,456,0
136678,175,696,0
136679,961,569,0
136680,332,100,1
136681,696,533,0
136686,666,687,1
136690,815,568,1
136690,815,568,1
136693,346,405,0
136694,488,599,1
136696,391,445,1
136698,350,690,0
136702,395,697,0
136703,79,515,0
136703,1196,20,0
136709,303,577,0
136711,901,389,1
136712,713,464,0
136714,928,33,1
136715,934,453,0
136722,817,484,0
136727,596,474,1
136727,1002,155,0
136728,528,323,1
136730,1061,450,0
136734,855,258,0
136734,1225,216,0
136743,1147,563,0
136743,595,104,0
136748,1151,94,0
136748,591,487,0
136751,607,338,0
136752,743,7,0
136753,643,490,1
136756,341,370,0
136758,282,224,0
136759,424,212,0
136762,677,410,0
136762,402,247,0
136763,8,591,0
136764,603,346,0
136767,344,517,0
136767,757,135,0
136768,1066,493,0
136768,233,638,0
136769,891,673,1
136769,680,688,0
136773,697,262,0
136774,935,327,0
136775,767,503,0
136781,1210,512,1
136782,1146,255,0
136785,1270,611,0
136785,131,172,0
136786,885,625,0
136790,80,715,0
136790,943,660,0
136799,240,714,0
136800,1064,223,0
136801,106,552,0
136801,197,39,0
136802,765,505,0
136804,755,572,0
136806,370,246,0
136807,783,664,0
136812,183,215,1
136812,531,324,0
136812,453,608,0
136815,525,21,0
136815,1179,386,0
136815,590,518,0
136815,1201,377,1
136816,848,201,0
136816,50,673,0
136818,1199,101,0
136819,36,371,0
136820,264,556,0
136821,164,589,0
136829,59,714,1
136829,59,714,1
136833,407,387,0
136834,14,232,0
136839,833,137,0
136840,172,131,0
136846,1169,66,0
136847,207,512,0
136848,484,247,0
136849,15,261,0
136851,861,53,1
136851,861,53,1
136851,1062,464,0
136854,311,535,0
136855,1029,680,1
136858,950,375,0
136861,688,578,1
136862,415,656,1
136863,880,176,1
136866,177,18,0
136867,658,549,0
136867,227,26,0
136869,194,258,0
136878,155,392,0
136882,138,144,1
136883,459,541,0
136885,522,589,1
136891,1268,41,1
136892,773,617,1
136892,773,617,1
136893,910,198,1
136894,152,490,0
136897,438,126,1
136898,431,157,1
136899,184,122,1
136901,1217,668,0
136902,1199,255,1
136903,163,659,1
136907,957,299,0
136909,59,100,0
136911,1221,306,0
136911,757,516,0
136914,1238,500,0
136916,272,361,0
136919,1059,525,0
136919,688,348,0
136924,1143,186,0
136924,307,178,0
136925,1045,580,0
136928,180,649,0
136932,1111,544,0
136932,1132,433,0
136933,54,279,0
136936,594,432,0
136937,188,424,0
136945,1060,533,0
136945,547,347,0
136949,392,436,0
136950,274,329,0
136951,944,459,0
136953,688,505,0
136954,370,555,0
136956,382,614,0
136958,219,401,0
136965,208,438,0
136967,182,456,0
136967,558,526,0
136968,946,579,0
136971,1164,670,0
136975,1268,344,0
136976,1180,576,0
136979,575,326,0
136982,436,256,0
136983,350,690,1
136983,415,472,0
136983,1232,607,0
136987,1272,613,0
136987,935,552,0
136989,24,686,0
136989,343,520,0
136991,1127,712,0
136991,546,39,0
136991,148,655,0
136993,253,250,0
136994,776,401,1
136996,441,80,0
136996,471,392,0
136998,726,182,0
136999,931,346,0
136999,1154,274,0
137000,263,268,0
137004,535,53,0
137005,597,84,0
137007,753,544,0
137009,1176,329,0
137010,651,229,0
137011,1020,271,0
137012,782,435,0
137014,363,703,0
137018,274,349,0
137022,108,125,1
137023,1183,681,0
137025,542,537,0
137027,754,271,1
137029,230,464,0
137030,1167,125,0
137032,357,190,0
137033,1238,172,0
137034,1025,285,1
137035,746,297,0
137038,87,529,0
137039,354,443,0
137041,540,627,0
137043,138,488,0
137044,714,336,0
137048,206,444,0
137051,4,328,0
137053,824,351,0
137056,554,257,0
137059,812,546,0
137060,705,532,0
137060,22,202,0
137061,1081,197,0
137061,742,32,0
137062,541,78,0
137063,240,604,0
137065,50,166,0
137065,463,74,0
137066,716,55,0
137066,744,346,0
137068,896,599,0
137068,190,666,0
137077,994,362,0
137080,761,241,0
137083,1179,279,0
137083,1273,264,0
137083,444,376,0
137085,1248,481,0
137090,491,228,0
137091,25,700,0
137091,54,660,0
137094,240,450,0
137095,973,694,0
137097,463,713,1
137099,522,629,0
137100,1226,252,0
137100,190,35,0
137100,492,106,0
137101,1221,531,0
137102,839,371,0
137106,345,221,0
137107,861,366,0
137109,241,542,0
137112,859,492,1
137112,826,499,0
137114,287,316,0
137114,144,549,0
137117,381,421,0
137119,378,343,0
137122,190,136,0
137123,952,202,0
137124,1149,632,0
137126,286,193,0
137127,77,182,0
137127,962,69,0
137128,908,698,0
137129,1184,266,0
137135,641,341,0
137137,345,462,1
137137,1006,516,0
137138,1220,221,1
137139,156,70,0
137140,1207,86,0
137142,1072,270,0
137143,577,574,1
137143,866,33,1
137147,44,373,0
137147,918,227,0
137148,443,534,0
137148,99,365,0
137150,141,370,0
137151,1124,82,0
137153,137,54,1
137155,126,470,1
137156,887,515,0
137157,1181,311,1
137158,858,185,0
137158,541,467,1
137158,404,190,1
137158,948,709,1
137158,1130,662,1
137158,764,14,0
137160,981,154,0
137166,1031,166,1
137167,324,431,0
137169,1087,205,0
137169,213,4,1
137174,1219,60,0
137176,1042,261,1
137181,1116,414,0
137187,406,190,1
137190,529,519,0
137191,303,145,0
137194,187,232,0
137194,846,448,0
137194,1090,561,1
137195,1090,561,1
137196,756,401,0
137197,1230,22,1
137197,447,485,0
137198,307,429,0
137200,1037,594,0
137201,5,123,0
137205,908,580,0
137206,165,12,0
137206,21,376,0
137206,684,606,0
137210,177,27,0
137212,644,31,0
137212,667,266,0
137220,1246,602,0
137223,1152,410,0
137229,941,579,0
137231,950,535,0
137231,511,169,0
137231,416,268,0
137233,610,245,1
137234,650,126,0
137236,915,281,0
137236,1077,617,0
137236,569,35,0
137237,363,683,1
137240,46,201,0
137242,684,368,0
137242,596,145,0
137244,974,654,1
137245,917,101,0
137248,210,541,0
137248,1240,419,0
137249,974,692,0
137249,348,250,0
137249,271,308,0
137250,455,157,0
137255,203,258,0
137257,1145,247,0
137261,1096,70,1
137262,987,393,0
137262,903,385,1
137266,1055,718,0
137275,178,46,1
137276,1255,293,1
137281,511,464,0
137281,27,393,1
137286,599,578,0
137286,117,174,1
137287,230,613,1
137292,887,714,1
137295,476,393,0
137298,830,290,0
137302,616,161,1
137302,1048,198,1
137304,50,553,1
137304,1037,123,0
137311,434,38,1
137313,116,356,0
137313,844,361,1
137315,575,564,1
137315,26,665,0
137316,1115,297,1
137317,1155,288,1
137320,401,258,0
137322,199,209,0
137324,869,38,1
137325,1120,264,0
137325,241,30,0
137325,1205,473,1
137328,141,385,0
137331,940,99,0
137334,318,324,1
137334,102,515,1
137335,77,340,1
137339,326,376,1
137342,747,544,1
137344,633,193,1
137345,1217,119,1
137355,1022,649,0
137359,533,493,1
137367,1033,549,1
137367,158,187,1
137369,1142,383,0
137386,1227,670,0
137389,16,419,0
137392,595,37,1
137394,895,696,0
137399,735,491,0
137401,1118,163,0
137404,814,351,1
137410,691,489,0
137411,185,636,0
137413,191,300,1
137413,191,300,1
137416,767,42,0
137421,61,568,0
137421,1214,107,0
137421,430,426,0
137426,1023,453,1
137426,148,62,0
137432,336,104,1
137433,1110,336,1
137433,443,521,1
137438,749,134,0
137445,479,539,0
137451,363,628,0
137454,992,100,0
137457,711,408,0
137458,148,157,1
137461,1067,4,1
137462,590,205,1
137465,1052,711,0
137466,955,412,0
137468,598,322,0
137472,746,176,0
137474,1030,565,0
137474,32,706,0
137475,954,163,0
137476,10,500,0
137479,457,509,0
137480,325,67,0
137482,598,628,0
137485,744,547,1
137486,221,714,1
137486,1186,49,0
137487,1034,685,1
137488,439,88,0
137490,428,323,0
137490,387,183,0
137491,332,296,0
137492,925,507,0
137495,1074,625,0
137499,1004,257,1
137501,302,89,0
137502,813,493,0
137503,435,258,0
137504,329,247,0
137506,105,647,0
137509,1022,650,0
137509,859,4,0
137511,728,426,0
137511,845,513,1
137511,1201,443,0
137512,720,533,1
137512,629,251,0
137512,12,122,1
137514,870,372,0
137516,597,242,0
137518,1231,530,0
137521,296,30,0
137522,186,717,0
137523,451,237,0
137524,1184,214,0
137529,28,643,1
137534,1164,354,1
137534,1124,38,0
137537,798,107,1
137539,989,254,0
137541,339,475,1
137544,1082,24,1
137547,1001,80,1
137551,634,310,1
137556,322,232,1
137563,867,391,1
137564,50,342,1
137568,261,366,1
137568,261,366,1
137570,992,73,1
137571,273,510,0
137572,1152,117,0
137573,989,544,0
137574,901,388,1
137575,1090,231,1
137576,213,240,1
137576,806,386,0
137577,359,426,1
137580,376,425,0
137580,484,516,0
137580,125,701,1
137589,1134,21,1
137589,773,311,1
137592,776,538,1
137592,690,183,1
137593,103,655,1
137594,37,208,1
137602,524,83,1
137606,521,11,0
137606,1102,404,0
137610,1179,695,1
137610,1179,695,1
137611,198,670,1
137611,83,402,1
137611,1100,573,0
137617,888,572,1
137619,37,112,1
137620,26,620,1
137622,736,74,0
137622,691,399,0
137623,895,164,1
137624,527,182,1
137628,471,632,1
137630,17,118,0
137632,525,514,1
137632,782,388,1
137633,13,23,1
137639,490,532,1
137643,698,19,1
137645,631,360,1
137646,1101,162,1
137649,143,599,0
137650,32,108,1
137652,619,610,1
137656,1174,235,1
137666,739,665,0
137670,967,196,1
137670,60,419,0
137672,719,74,0
137675,693,265,0
137676,1006,378,1
137679,636,194,1
137679,636,194,1
137682,209,421,0
137689,1030,387,0
137691,532,460,0
137695,200,68,0
137703,520,577,0
137705,516,84,1
137711,1196,679,0
137716,665,0,1
137720,217,576,0
137731,20,159,0
137733,172,268,1
137739,329,530,1
137744,29,440,1
137746,674,9,0
137754,817,639,1
137755,1108,260,0
137756,608,541,1
137763,359,489,0
137764,100,623,0
137765,539,275,1
137766,1033,473,1
137766,894,91,0
137767,647,46,1
137767,1038,195,1
137767,135,52,1
137768,638,719,0
137770,1060,316,1
137773,870,280,1
137774,549,173,1
137775,832,333,0
137775,458,190,0
137787,333,133,1
137788,726,669,0
137790,934,164,0
137797,1213,577,1
137801,1103,77,1
137801,905,388,1
137802,1080,160,0
137805,638,583,0
137808,1251,520,1
137811,714,350,1
137812,369,642,0
137815,1064,119,1
137817,495,495,0
137817,1161,694,1
137818,91,23,1
137819,535,585,1
137823,67,76,0
137823,1004,617,1
137824,396,538,1
137826,216,479,1
137826,203,495,0
137835,155,93,0
137839,930,256,0
137839,1009,329,0
137840,1163,427,0
137841,742,501,0
137845,1192,61,1
137848,1252,669,0
137851,368,423,1
137859,511,640,0
137862,182,103,1
137872,271,26,0
137874,625,621,0
137874,1047,318,1
137876,1102,256,0
137878,987,294,1
137878,752,673,0
137883,1123,569,0
137884,843,21,0
137890,38,610,0
137891,400,530,0
137891,853,498,0
137893,1244,67,1
137893,817,609,0
137895,206,507,0
137896,854,226,0
137898,903,389,1
137899,945,244,0
137905,525,92,1
137907,1078,494,1
137909,509,368,1
137909,239,240,0
137911,107,678,0
137917,292,123,0
137918,986,304,1
137918,986,304,1
137920,290,412,1
137923,666,268,1
137924,448,468,1
137925,78,42,1
137925,541,61,1
137925,450,560,1
137925,865,558,1
137926,397,111,1
137927,1059,581,0
137934,924,206,1
137934,202,242,1
137935,626,218,1
137939,901,391,1
137939,364,334,1
137941,1208,618,1
137944,1227,238,1
137946,517,218,1
137951,806,141,1
137952,995,703,0
137953,172,310,1
137954,587,4,1
137954,987,38,1
137956,464,699,1
137956,171,214,0
137956,976,599,1
137957,1051,652,1
137961,1062,210,1
137961,766,358,0
137961,452,157,1
137965,227,125,0
137967,351,89,0
137969,671,258,1
137969,1011,480,1
137970,1220,421,0
137971,850,145,1
137973,1000,666,1
137973,142,377,1
137973,904,267,1
137974,904,267,1
137974,226,463,1
137978,680,197,0
137979,698,510,1
137979,237,466,1
137980,869,564,1
137980,207,131,1
137981,553,408,1
137981,393,41,1
137982,867,702,1
137984,830,74,1
137986,427,466,1
137987,165,132,0
137987,301,610,1
137990,1170,604,1
137990,1170,604,1
137992,360,438,1
137993,511,640,1
137995,1161,116,1
138000,134,535,0
138001,1147,396,1
138001,1147,396,1
138003,1051,319,1
138004,24,46,1
138005,151,123,1
138005,868,200,1
138005,601,366,1
138006,1026,525,1
138007,502,133,1
138007,1076,369,1
138011,1175,592,1
138011,499,414,1
138012,913,165,1
138013,288,64,1
138013,141,436,1
138015,111,609,1
138015,851,610,1
138016,105,69,1
138016,901,387,1
138017,470,444,0
138018,387,686,1
138020,841,7,0
138023,267,370,1
138024,946,655,0
138024,661,68,1
138029,991,181,0
138030,1014,136,1
138032,781,474,1
138032,1048,606,1
138033,1023,66,1
138034,328,483,1
138036,1217,215,1
138036,182,368,1
138037,929,268,1
138039,2,681,1
138039,183,508,1
138041,25,14,1
138043,1222,216,1
138044,254,92,1
138045,1153,298,1
138045,198,328,1
138048,156,454,1
138048,1274,35,1
138049,1191,162,1
138049,839,98,1
138050,507,39,1
138052,92,487,1
138053,92,36,1
138055,90,718,1
138059,450,440,1
138060,716,159,1
138061,1173,318,1
138061,437,310,1
138062,194,217,1
138063,816,220,1
138064,1148,292,1
138064,388,134,1
138064,712,269,1
138065,795,357,1
138065,92,279,1
138065,229,274,1
138066,738,58,1
138066,280,581,1
138066,568,85,1
138066,289,563,1
138066,289,563,1
138066,1204,369,1
138067,363,367,1
138068,917,428,1
138068,239,320,1
138068,104,219,1
138068,17,335,1
138069,320,456,1
138069,590,445,1
138069,54,145,1
138069,32,446,1
138070,949,300,1
138071,640,359,1
138071,149,718,1
138072,747,485,1
138072,930,32,1
138074,326,195,1
138074,91,215,1
138075,267,491,1
138077,531,522,1
138078,297,474,1
138078,772,315,1
138078,1205,634,1
138079,477,141,1
138079,876,478,1
138080,181,351,1
138080,693,703,1
138082,668,514,1
138083,1082,170,1
138085,787,311,1
138086,55,688,1
138086,456,110,1
138087,115,239,1
138089,1007,345,1
138091,1073,73,1
138091,640,117,1
138091,1075,187,1
138094,555,567,1
138096,1093,515,1
138098,1003,181,1
138098,1003,181,1
138104,1072,443,1
138106,264,500,1
138106,1245,660,1
138106,1126,415,1
138110,662,325,1
138127,847,465,1
138127,876,328,1
138132,442,449,1
138132,442,449,1
138135,409,370,1
138143,350,233,0
138146,568,148,1
138147,568,148,1
138152,603,66,1
138165,768,480,1
138168,1176,653,1
138172,1094,176,1
138172,1094,176,1
138174,1093,185,1
138175,818,255,1
138178,8,659,1
138182,885,622,1
138206,1001,692,1
138206,1001,692,1
138209,621,375,1
138209,573,148,1
138215,954,402,0
138223,85,38,0
138226,340,588,1
138227,78,294,0
138228,244,399,0
138230,462,571,1
138231,515,35,1
138237,584,618,1
138238,884,564,1
138238,360,393,1
138240,31,142,1
138241,791,250,1
138245,930,115,1
138246,1125,428,1
138248,868,319,1
138249,1075,18,1
138253,657,40,1
138258,199,387,1
138259,437,442,1
138263,917,208,0
138266,125,230,1
138267,497,179,1
138271,847,504,1
138271,597,88,1
138275,1020,303,1
138282,151,337,1
138282,700,445,1
138298,641,328,1
138304,1094,29,1
138305,685,430,0
138308,101,692,0
138311,1,545,1
138313,143,211,1
138321,1162,110,0
138322,914,713,1
138332,1221,375,0
138339,477,194,0
138341,352,528,0
138343,309,425,0
138355,761,294,0
138360,570,652,1
138361,75,339,0
138364,471,3,0
138365,63,267,1
138365,1106,705,0
138368,290,566,1
138368,491,66,1
138369,51,175,1
138369,51,175,1
138372,150,75,0
138373,434,129,0
138374,827,383,0
138379,1107,534,1
138385,492,238,1
138386,1020,556,0
138388,1173,551,1
138392,315,651,1
138392,280,177,1
138393,17,674,1
138402,1153,239,0
138402,871,520,1
138402,1236,596,1
138406,796,686,1
138406,1010,237,1
138407,1161,174,1
138410,1063,24,1
138411,439,335,1
138417,726,353,0
138419,622,140,0
138421,445,558,1
138422,950,134,1
138431,924,284,1
138432,939,27,1
138433,753,224,1
138435,1249,233,1
138435,436,353,1
138437,1121,300,0
138437,2,562,1
138440,136,155,1
138440,1209,72,1
138446,904,383,1
138446,1165,257,1
138448,600,455,1
138448,1063,166,1
138450,1185,405,0
138457,1052,492,1
138459,225,499,1
138459,674,420,1
138463,153,61,1
138468,1130,180,1
138471,459,319,1
138472,1197,453,1
138473,782,110,1
138473,1039,375,1
138476,888,628,0
138480,358,650,1
138481,294,266,1
138483,728,195,1
138497,175,185,1
138497,1091,683,1
138503,224,287,1
138505,618,697,1
138513,317,388,1
138514,346,704,1
138516,1096,331,0
138527,6,91,1
138529,87,303,1
138531,732,457,1
138534,208,634,0
138537,437,320,1
138538,1004,719,1
138545,636,519,1
138562,1067,54,1
138575,1173,67,1
138576,663,528,0
138580,1155,663,1
138580,1121,635,1
138586,1122,357,1
138587,124,534,1
138588,1226,492,0
138588,387,360,1
138588,95,357,1
138588,622,634,0
138588,980,712,1
138589,1238,6,1
138589,1211,547,0
138591,604,519,1
138592,1153,47,1
138594,786,460,1
138595,754,221,0
138596,693,123,1
138597,324,494,1
138598,110,164,1
138602,1171,677,1
138603,22,105,1
138603,22,105,1
138605,561,47,0
138611,800,6,0
138623,213,310,0
138626,376,574,0
138627,461,653,1
138634,193,521,1
138634,837,595,1
138635,932,159,1
138638,1261,716,1
138640,114,417,0
138641,291,28,1
138644,1223,203,1
138645,800,346,1
138645,513,8,1
138647,379,547,1
138654,261,31,1
138659,913,494,0
138660,425,692,1
138666,650,591,0
138668,911,620,1
138670,801,40,1
138674,619,301,0
138675,442,121,0
138680,476,271,0
138687,1102,414,1
138688,785,616,0
138688,404,40,0
138693,280,450,1
138702,906,212,0
138703,917,498,0
138705,362,126,1
138706,698,145,1
138708,600,476,0
138708,1084,437,0
138709,390,595,0
138709,206,324,0
138709,430,125,0
138711,178,319,0
138711,523,196,1
138713,1088,126,0
138717,341,632,1
