t,x,y,p
20268,514,637,1
20272,1014,625,1
20392,270,495,1
20396,182,467,1
20419,274,493,1
20423,266,496,1
20427,1122,478,1
20428,1122,478,1
20443,6,474,1
20462,241,481,1
20482,593,155,1
20522,176,356,1
20567,594,699,1
20570,264,497,1
20652,271,496,1
20666,441,164,1
20695,264,495,1
20700,1138,494,1
20708,1125,373,1
20714,753,614,1
20714,491,43,1
20760,1246,647,1
20776,273,496,1
20801,1253,72,1
20835,432,152,1
20858,265,501,1
20867,691,427,1
20876,613,101,1
20893,273,492,1
20919,31,343,1
20919,31,343,1
20940,1035,336,1
20962,905,229,1
20995,276,494,1
21011,353,650,0
21055,645,27,1
21079,464,590,1
21145,269,495,1
21149,604,95,1
21155,777,17,1
21168,654,269,1
21178,1188,511,1
21178,1000,210,1
21211,635,489,1
21223,486,551,1
21233,288,653,1
21266,468,466,1
21281,306,45,1
21283,271,495,1
21287,272,489,1
21291,860,146,1
21291,860,146,1
21294,668,474,1
21314,331,628,1
21365,821,659,1
21423,275,493,1
21474,113,344,1
21474,113,344,1
21488,1041,396,1
21488,1041,396,1
21590,844,361,1
21613,739,667,1
21645,775,183,1
21652,960,576,1
21697,274,499,1
21701,14,414,1
21702,662,248,1
21702,114,200,1
21703,1044,342,1
21706,531,507,1
21721,643,165,1
21734,183,240,1
21770,1184,411,1
21770,1184,411,1
21784,129,93,1
21814,817,271,1
21837,1020,407,1
21855,897,648,1
21860,258,491,1
21884,436,669,1
21887,768,659,1
21892,265,490,1
21905,86,487,1
21905,86,487,1
21949,906,201,1
21960,621,511,1
21983,578,358,1
22030,229,237,1
22048,1077,228,1
22061,139,130,1
22065,864,455,1
22125,100,614,1
22131,303,509,1
22138,1208,66,1
22139,98,244,1
22140,1117,685,1
22140,1117,685,1
22151,840,160,1
22156,735,269,1
22158,859,194,1
22161,610,465,1
22170,1130,429,1
22171,405,356,1
22171,467,551,1
22171,628,416,1
22185,266,501,1
22186,787,42,1
22197,117,540,1
22201,1097,661,1
22221,474,381,1
22245,693,82,1
22250,63,267,1
22286,267,493,1
22286,353,650,1
22300,265,499,1
22305,1039,353,1
22306,18,431,1
22308,442,327,1
22345,619,514,1
22396,758,480,1
22404,331,702,1
22410,267,497,1
22446,1264,545,1
22479,589,542,1
22516,272,492,1
22556,193,639,1
22598,1001,60,1
22606,485,59,1
22610,1227,600,1
22610,863,639,1
22654,270,493,1
22655,260,510,1
22680,988,577,1
22702,17,175,1
22715,511,640,0
22737,1182,94,1
22763,164,456,1
22790,470,255,1
22792,269,490,1
22800,511,640,1
22819,640,244,0
22843,424,411,1
22844,684,599,1
22844,684,599,1
22851,762,636,1
22869,1262,475,1
22872,268,492,1
22893,273,493,1
22894,273,493,1
22923,37,580,1
22931,380,703,1
22938,1090,350,1
22953,271,503,1
22978,169,82,1
23000,265,492,1
23009,43,428,1
23026,153,436,1
23041,138,262,1
23094,270,503,1
23113,813,647,1
23119,333,154,1
23137,476,84,1
23148,24,577,1
23153,818,659,1
23153,818,659,1
23166,1235,565,1
23167,846,465,1
23172,705,528,1
23200,829,190,1
23203,299,142,1
23203,255,671,1
23207,349,606,1
23208,588,678,1
23208,754,470,1
23210,228,372,1
23210,476,404,1
23210,228,372,1
23236,650,416,1
23237,741,715,1
23245,822,572,1
23245,822,572,1
23247,1015,677,1
23254,605,88,1
23255,847,311,1
23255,847,311,1
23257,996,360,1
23287,1003,55,1
23292,571,2,1
23292,39,598,1
23320,1078,630,1
23368,537,665,1
23374,1058,111,1
23390,606,82,1
23391,528,545,1
23410,1165,312,1
23414,274,498,1
23416,569,200,1
23421,69,493,1
23429,982,121,1
23442,273,44,1
23451,519,199,1
23470,840,234,1
23513,1028,267,1
23522,450,389,1
23526,830,391,1
23552,1160,41,1
23553,258,5,1
23599,264,488,1
23611,1031,668,1
23613,129,28,1
23662,812,337,1
23663,1010,470,1
23708,199,711,1
23711,598,224,1
23759,539,716,1
23780,390,462,1
23822,1063,507,1
23828,1005,294,1
23849,456,564,1
23853,754,451,1
23863,7,626,1
23895,197,717,1
23898,773,311,1
23961,1210,607,1
23963,273,501,1
24006,605,697,1
24033,269,498,1
24041,112,137,1
24082,1271,629,1
24093,277,495,1
24102,773,617,1
24102,773,617,1
24107,317,204,1
24107,317,204,1
24116,1173,106,1
24147,1139,62,1
24151,942,156,1
24156,682,705,1
24159,365,75,1
24166,533,108,1
24167,204,463,1
24170,270,502,1
24192,1176,407,1
24226,269,491,1
24226,624,381,1
24226,624,381,1
24254,1230,81,1
24257,264,492,1
24286,1248,598,1
24345,348,96,1
24362,471,147,1
24376,1205,38,1
24411,194,198,1
24428,348,113,1
24440,183,351,1
24465,197,165,1
24516,497,84,1
24525,270,500,1
24534,436,689,1
24534,275,494,1
24537,438,50,1
24537,1123,111,1
24548,928,546,1
24548,846,462,1
24557,900,27,1
24560,422,384,1
24564,770,107,1
24570,314,211,1
24592,212,593,1
24595,745,295,1
24629,1236,670,1
24641,316,452,1
24663,500,70,1
24669,158,78,1
24671,743,378,1
24673,1040,668,1
24677,1061,350,1
24684,275,491,1
24685,420,499,1
24685,1261,589,1
24699,993,661,1
24711,1148,37,1
24720,881,211,1
24740,123,312,1
24767,902,328,1
24769,1138,36,1
24779,1007,44,1
24789,442,563,1
24794,55,275,1
24819,1210,526,1
24823,741,507,1
24834,267,494,1
24910,270,495,0
24928,1118,101,1
24941,1234,657,0
25003,871,378,1
25003,871,378,1
25030,587,385,1
25047,846,463,1
25068,707,637,1
25074,404,430,1
25081,290,242,1
25087,33,545,1
25095,1250,272,1
